_dataset,_file,model,trial,n_cases,score_mean,score_sd_cases,hallucination_rate,empty_rate,e2e_median_ms,e2e_p90_ms,ttft_median_ms,temperature,num_ctx,num_predict,top_p,repeat_penalty,nonhall_n,nonhall_score_mean,nonhall_score_sd_cases,pred_score_from_decomposition,decomposition_abs_error
results-5-trials-nothrottling,phi3_5_20260509_151130.jsonl,phi3.5,4,20,0.293,0.37808520342990354,0.6,0.4,55031.35,60000.0,,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,8.0,0.7324999999999999,0.14169887589028862,0.293,0.0
results-5-trials-nothrottling,phi3_5_20260509_151130.jsonl,phi3.5,5,20,0.48475,0.3887648287914728,0.35,0.05,47206.95,58139.1,,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,13.0,0.7457692307692307,0.16858289446943397,0.48475,0.0
results-5-trials-nothrottling,qwen2_5_3b_20260509_141742.jsonl,qwen2.5:3b,1,20,0.73307,0.2827881354989055,0.1,0.0,27839.35,36636.33,,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,18.0,0.8145222222222223,0.13831121155506546,0.73307,0.0
results-5-trials-nothrottling,qwen2_5_3b_20260509_141742.jsonl,qwen2.5:3b,2,20,0.601085,0.37865560977726115,0.25,0.0,29859.25,36200.7,,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,15.0,0.8014466666666666,0.1501269694371433,0.601085,0.0
results-5-trials-nothrottling,qwen2_5_3b_20260509_141742.jsonl,qwen2.5:3b,3,20,0.66658,0.3563159916348645,0.2,0.0,29544.449999999997,35712.75000000001,,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,16.0,0.833225,0.11272862694689997,0.6665800000000001,1.1102230246251565e-16
results-5-trials-nothrottling,qwen2_5_3b_20260509_141742.jsonl,qwen2.5:3b,4,20,0.62502,0.3835556744051912,0.25,0.0,31027.55,36802.12,,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,15.0,0.8333600000000001,0.11675701753152631,0.6250200000000001,1.1102230246251565e-16
results-5-trials-nothrottling,qwen2_5_3b_20260509_141742.jsonl,qwen2.5:3b,5,20,0.710025,0.3182377659202232,0.15,0.0,27640.85,35619.98000000001,,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,17.0,0.8353235294117647,0.09517368024703421,0.710025,0.0
results-gemma4,batiai_gemma4-e2b_q4_20260531_172408.jsonl,batiai/gemma4-e2b:q4,1,20,0.881325,0.2147321045175274,0.05,0.0,20972.800000000003,28600.48,17244.75,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,19.0,0.9277105263157894,0.056995700566279006,0.8813249999999999,1.1102230246251565e-16
results-gemma4,batiai_gemma4-e2b_q4_20260531_172408.jsonl,batiai/gemma4-e2b:q4,2,20,0.83823,0.24593861900033,0.05,0.0,21514.050000000003,28168.430000000004,17549.35,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,19.0,0.8823473684210527,0.1508531750058869,0.83823,0.0
results-gemma4,batiai_gemma4-e2b_q4_20260531_172408.jsonl,batiai/gemma4-e2b:q4,3,20,0.87743,0.21430197115776906,0.05,0.0,22143.1,28055.22,17583.5,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,19.0,0.9236105263157895,0.05877347185722532,0.87743,0.0
results-gemma4,batiai_gemma4-e2b_q4_20260531_172408.jsonl,batiai/gemma4-e2b:q4,4,20,0.8824099999999999,0.21474046489462087,0.05,0.0,20895.4,28268.15,17179.15,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,19.0,0.9288526315789474,0.05603918637307941,0.8824099999999999,0.0
results-gemma4,batiai_gemma4-e2b_q4_20260531_172408.jsonl,batiai/gemma4-e2b:q4,5,20,0.8800100000000001,0.21484529048155854,0.05,0.0,20694.05,28536.860000000004,17538.9,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,19.0,0.9263263157894738,0.058611269698518854,0.8800100000000001,0.0
results-gemma4,gemma4_e2b_20260531_205731.jsonl,gemma4:e2b,2,20,0.91896,0.07183238823817571,0.0,0.0,20096.2,27347.630000000005,15366.849999999999,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,20.0,0.91896,0.07183238823817571,0.91896,0.0
